tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
4.39741217305e-005 3.21285744346e-005 -294.853565056 -3544241281.87 4615.09110873 1304080.93538 959328782265 24919569988.4 1046996918.31 477626256967 31018549021.5 1.34692241205e+012 0 0 0 0 0 0 0 0 0 0 0 486851.702565 19020.2366449 
4.39747185279e-005 3.19519707981e-005 -296.99110142 -3612628451.37 4640.32096396 1329236.43978 957696431935 26880300927.8 1157315493 476612324189 33549592713.9 1.33675387882e+012 0 0 0 0 0 0 0 0 0 0 0 537694.11616 22747.6976376 
4.39753029406e-005 3.17777839876e-005 -299.124465456 -3681696906.62 4665.03842354 1354601.15651 955939074386 28950122228 1279193205.05 475520557944 36227917915.7 1.32674751631e+012 0 0 0 0 0 0 0 0 0 0 0 592420.763361 27127.7605922 
4.39758756582e-005 3.1605861981e-005 -301.254920895 -3751487494.66 4689.24992043 1380186.42828 954049998483 31132559639.7 1413851512.3 474346514884 39058957972.4 1.31689622976e+012 0 0 0 0 0 0 0 0 0 0 0 651212.237958 32262.3540553 
4.39764373269e-005 3.14360605411e-005 -303.383710496 -3822042254.79 4712.96141448 1406003.96543 952022345847 33431113449.4 1562631091.42 473085586765 42048247371 1.30719356045e+012 0 0 0 0 0 0 0 0 0 0 0 714250.347563 38267.6498806 
4.39769885537e-005 3.12682425218e-005 -305.512060133 -3893404533.23 4736.17843622 1432065.88051 949849130056 35849241885.8 1727001510.3 471733001784 45201418877.7 1.29763362947e+012 0 0 0 0 0 0 0 0 0 0 0 781717.687854 45275.8610424 
4.39775299096e-005 3.11022772306e-005 -307.641182764 -3965619105.6 4758.90612762 1458384.72528 947523259266 38390342551.1 1908571459.9 470283827143 48524199457.6 1.28821108385e+012 0 0 0 0 0 0 0 0 0 0 0 853797.180911 53437.2468353 
4.39780619327e-005 3.09380398419e-005 -309.772282311 -4038732307.23 4781.14928002 1484973.5304 945037562552 41057731770.2 2109099539.61 468732973047 52022404751 1.27892104442e+012 0 0 0 0 0 0 0 0 0 0 0 930671.571869 62922.346896 
4.39785851311e-005 3.07754108515e-005 -311.906557522 -4112792174.58 4802.91236999 1511845.84871 942384820192 43854621838.7 2330505585.22 467075198273 55701931951.8 1.26975905475e+012 0 0 0 0 0 0 0 0 0 0 0 1012522.87927 73924.4674158 
4.39790999852e-005 3.06142755696e-005 -314.045205821 -4187848596.96 4824.19959325 1539015.80209 939557798172 46784096097.3 2574882511.81 465305117521 59568750807.3 1.26072103072e+012 0 0 0 0 0 0 0 0 0 0 0 1099531.79135 86662.4443928 
4.39796069506e-005 3.04545236424e-005 -316.189427227 -4263953483.13 4845.01489754 1566498.13335 936549287085 49849081903.2 2844508639.13 463417210690 63628892591.2 1.25180321016e+012 0 0 0 0 0 0 0 0 0 0 0 1191877.00307 101383.710898 
4.39801064595e-005 3.02960485986e-005 -318.340428391 -4341160943.09 4865.36201459 1594308.2635 933352145577 53052321554.9 3141860448.28 461405834285 67888436809.2 1.24300210206e+012 0 0 0 0 0 0 0 0 0 0 0 1289734.4861 118367.696874 
4.39805989233e-005 3.01387474178e-005 -320.499426747 -4419527487.72 4885.24449145 1622462.35507 929959348516 56396341238 3469625697.64 459265235138 72353495336.7 1.23431443529e+012 0 0 0 0 0 0 0 0 0 0 0 1393276.68244 137929.59134 
4.39810847345e-005 2.99825201127e-005 -322.667654902 -4499112249.25 4904.66572194 1650977.38304 926364039852 59883418269.8 3830716820.45 456989566584 77030193878 1.22573710618e+012 0 0 0 0 0 0 0 0 0 0 0 1502671.61619 160424.499024 
4.3981564268e-005 2.98272693235e-005 -324.846365254 -4579977226.01 4923.62897821 1679871.21395 922559590197 63515546828.7 4228284491.76 454572907282 81924650423.4 1.2172671249e+012 0 0 0 0 0 0 0 0 0 0 0 1618081.91274 186252.023927 
4.39820378833e-005 2.96728999191e-005 -327.036834946 -4662187553.22 4942.13744298 1709162.69485 918539658965 67294402567.6 4665731242.39 452009282805 87042950561.7 1.20890156052e+012 0 0 0 0 0 0 0 0 0 0 0 1739663.71867 215861.313875 
4.39825059259e-005 2.95193186019e-005 -329.240371167 -4745811805.48 4960.19424266 1738871.75311 914298260902 71221306502.8 5146724964.93 449292690135 92391119393.7 1.2006374845e+012 0 0 0 0 0 0 0 0 0 0 0 1867565.51298 249756.600066 
4.39829687288e-005 2.93664335124e-005 -331.4583169 -4830922333.91 4977.80248161 1769019.50892 909829836640 75297188735.4 5675212138.82 446417125168 97975089899.3 1.19247191269e+012 0 0 0 0 0 0 0 0 0 0 0 2001926.80233 288503.265917 
4.39834266138e-005 2.9214153831e-005 -333.692057158 -4917595643.23 4994.96527776 1799628.40194 905129326887 79522552595.6 6255430568.85 443376613315 103800667554 1.18440174586e+012 0 0 0 0 0 0 0 0 0 0 0 2142876.69209 332734.478212 
4.39838798934e-005 2.90623893716e-005 -335.943025795 -5005912813.17 5011.68580004 1830722.33432 900192249648 83897439981.1 6891921415.37 440165243231 109873491120 1.1764237088e+012 0 0 0 0 0 0 0 0 0 0 0 2290532.32802 383158.412408 
4.39843288719e-005 2.89110501685e-005 -338.21271294 -5095959971.15 5027.96730742 1862326.83182 895014779903 88421398620.2 7589540249.22 436777203752 116198989389 1.16853428833e+012 0 0 0 0 0 0 0 0 0 0 0 2444997.20012 440566.099548 
4.39847738468e-005 2.87600460491e-005 -340.502673152 -5187828821.72 5043.81318995 1894469.22552 889593830909 93093452225.7 8353466857.65 433206824004 122782333861 1.16072967029e+012 0 0 0 0 0 0 0 0 0 0 0 2606359.30622 505839.918948 
4.398521511e-005 2.8609286195e-005 -342.814534341 -5281617238.43 5059.2270118 1927178.85658 883927136366 97912074447.5 9189213480.99 429448616738 129628387215 1.15300567605e+012 0 0 0 0 0 0 0 0 0 0 0 2774689.16942 579962.752601 
4.39856529495e-005 2.84586786875e-005 -345.150007542 -5377429929.01 5074.21255629 1960487.30653 878013332539 102875167637 10102631136.7 425497324872 136741647447 1.14535769875e+012 0 0 0 0 0 0 0 0 0 0 0 2950037.70632 664027.80802 
4.39860876505e-005 2.83081300373e-005 -347.510897609 -5475379176.61 5088.77387289 1994428.65623 871852039444 107980047473 11099913658.5 421347971285 144126187619 1.13778063979e+012 0 0 0 0 0 0 0 0 0 0 0 3132433.94414 759249.103264 
4.39865194966e-005 2.81575446997e-005 -349.899114871 -5575585670.22 5102.9153262 2029039.77619 865443940247 113223434464 12187599034.1 416995911927 151785590988 1.13026884608e+012 0 0 0 0 0 0 0 0 0 0 0 3321882.58325 866972.589282 
4.39869487712e-005 2.80068245748e-005 -352.316687825 -5678179429.19 5116.6416466 2064360.65174 858790858083 118601453317 13372567588 412436892401 159722881311 1.12281604851e+012 0 0 0 0 0 0 0 0 0 0 0 3518361.40288 988687.861232 
4.39873757587e-005 2.78558684975e-005 -354.765776863 -5783300832.72 5129.95798251 2100434.74586 851895829685 124109641093 14662036495.2 407667108281 167940447926 1.11541530217e+012 0 0 0 0 0 0 0 0 0 0 0 3721818.50482 1126040.37759 
4.39878007456e-005 2.77045717239e-005 -357.248689023 -5891101759.16 5142.86995367 2137309.40252 844763175516 129742964858 16063550020.9 402683269663 176439964932 1.10805892915e+012 0 0 0 0 0 0 0 0 0 0 0 3932169.38563 1280844.06087 
4.39882240216e-005 2.75528254163e-005 -359.767893769 -6001746846.14 5155.38370567 2175036.29422 837398566071 135495849628 17584964838.1 397482670458 185222303939 1.10073846414e+012 0 0 0 0 0 0 0 0 0 0 0 4149293.83226 1455094.10247 
4.39886458807e-005 2.74005161496e-005 -362.326039544 -6115414870.52 5167.5059642 2213671.91379 829809085116 141362216671 19234429504.5 392063263683 194287438649 1.09344460412e+012 0 0 0 0 0 0 0 0 0 0 0 4373032.61046 1650979.70225 
4.39890666219e-005 2.72475254446e-005 -364.92597105 -6232300252.04 5179.24408965 2253278.11368 822003290119 147335532674 21020357154.6 386423743782 203634340230 1.08616716245e+012 0 0 0 0 0 0 0 0 0 0 0 4603183.93429 1870896.38971 
4.39894865496e-005 2.70937293704e-005 -367.570746604 -6352614668.98 5190.60612973 2293922.68782 813991272076 153408868913 22951389906.7 380563638384 213260860250 1.07889502929e+012 0 0 0 0 0 0 0 0 0 0 0 4839499.65525 2117457.40096 
4.39899059742e-005 2.69389982371e-005 -370.263655211 -6476588777.05 5201.60087032 2335679.99488 805784716132 159574970293 25036353374 374483411566 223163598854 1.07161613921e+012 0 0 0 0 0 0 0 0 0 0 0 5081681.13818 2393503.43096 
4.39903252116e-005 2.6783196445e-005 -373.008232195 -6604473982.08 5212.23788206 2378631.60981 797396966562 165826332471 27284198789.5 368184582451 233337753211 1.06431744895e+012 0 0 0 0 0 0 0 0 0 0 0 5329374.73207 2702109.78499 
4.39907445822e-005 2.66261825557e-005 -375.808272107 -6736544219.38 5222.52756113 2422866.9875 788843099637 172155285362 29703929660.9 361669863293 243776941085 1.05698492824e+012 0 0 0 0 0 0 0 0 0 0 0 5582166.75205 3046589.62906 
4.39911644096e-005 2.64678096977e-005 -378.66783664 -6873097641.94 5232.48116084 2468484.1058 780140009617 178554079810 32304508554.5 354943323009 254472991833 1.04960356918e+012 0 0 0 0 0 0 0 0 0 0 0 5839577.84169 3430491.53734 
4.39915850172e-005 2.63079264291e-005 -381.59125493 -7014458064.86 5242.11081143 2515590.04613 771306512489 185014974275 35094738581.5 348010582289 265415697169 1.04215742025e+012 0 0 0 0 0 0 0 0 0 0 0 6101056.61041 3857588.96648 
