t	h	T	H2	H	O	O2	OH	H2O	H2O2	H02	masa
1.970733345e-007	1e-011	300	66763201.52	124223593.7	1854253.028	100421511.1	52354712.78	-48629541.59	335.6076202	29.22129993	0.6759927539
1.980912657e-007	1e-011	300	66620112.02	124951356.6	1859745.176	100438504.1	52717337.98	-48411115.83	336.6785272	29.38724297	0.6781413278
1.991080039e-007	1e-011	300	66477163.4	125678985.8	1865247.1	100455461.5	53080234.14	-48188444.38	337.7448591	29.55296165	0.6803053276
2.001235226e-007	1e-011	300	66334359.7	126406454.9	1870758.556	100472382.9	53443384.76	-47961536.79	338.8066187	29.71844866	0.68248466
2.011377955e-007	1e-011	300	66191704.97	127133737.3	1876279.301	100489268	53806773.28	-47730403.08	339.863809	29.88369669	0.6846792297
2.021507956e-007	1e-011	300	66049203.3	127860806.3	1881809.086	100506116.5	54170383.04	-47495053.79	340.9164325	30.0486985	0.6868889392
2.031624961e-007	1e-011	300	65906858.81	128587635	1887347.663	100522927.9	54534197.33	-47255499.99	341.964492	30.21344687	0.689113689
2.041728696e-007	1e-011	300	65764675.63	129314196.3	1892894.78	100539702	54898199.34	-47011753.29	343.0079896	30.37793461	0.6913533773
2.051818888e-007	1e-011	300	65622657.95	130040463.2	1898450.181	100556438.4	55262372.19	-46763825.85	344.0469275	30.54215455	0.6936079003
2.061895258e-007	1e-011	300	65480809.98	130766408.2	1904013.609	100573136.7	55626698.9	-46511730.37	345.0813079	30.70609959	0.6958771517
2.071957529e-007	1e-011	300	65339135.97	131492003.8	1909584.804	100589796.5	55991162.41	-46255480.13	346.1111325	30.86976262	0.6981610231
2.082005417e-007	1e-011	300	65197640.18	132217222.4	1915163.504	100606417.5	56355745.58	-45995089.01	347.1364029	31.03313657	0.7004594037
2.092038639e-007	1e-011	300	65056326.93	132942036	1920749.444	100622999.3	56720431.16	-45730571.45	348.1571206	31.1962144	0.7027721802
2.102056906e-007	1e-011	300	64915200.57	133666416.6	1926342.354	100639541.6	57085201.83	-45461942.53	349.1732869	31.35898909	0.705099237
2.139330641e-007	1e-011	300	64389924.75	136367125.8	1947265.671	100700977.7	58447759.54	-44422536.21	352.927947	31.96405895	0.7139138915
2.239330641e-007	1e-011	300	62979152.43	143654983.1	2004424.553	100864805.9	62144418.62	-41320127.79	362.8018174	33.58214645	0.738787972
2.339330641e-007	1e-011	300	61566281.82	151001264.6	2063061.14	101027195	65898107.05	-37750448.76	372.3974107	35.19088293	0.7654725758
2.439330641e-007	1e-011	300	60151471.61	158402273.1	2123135.544	101188181.2	69705379.51	-33700289.73	381.7295492	36.78836545	0.7940016238
2.539330641e-007	1e-011	300	58734865.02	165854607.3	2184610.367	101347798.8	73563059.25	-29156187.56	390.8121313	38.37297334	0.8244108399
2.639330641e-007	1e-011	300	57316591.51	173355136.1	2247450.621	101506079.9	77468215.14	-24104492.51	399.6581845	39.94333555	0.8567374386
2.739330641e-007	1e-011	300	55896768.33	180900973.3	2311623.614	101663054.7	81418140.44	-18531416.93	408.2799165	41.4983013	0.8910198831
2.839330641e-007	1e-011	300	54475501.81	188489456.5	2377098.806	101818751.5	85410333.4	-12423070.62	416.6887655	43.03691377	0.9272976955
2.939330641e-007	1e-011	300	53052888.62	196118126.8	2443847.663	101973196.6	89442479.39	-5765486.801	424.895448	44.55838666	0.9656113058
3.039330641e-007	1e-011	300	51629016.77	203784710.3	2511843.509	102126415.1	93512434.75	1455358.856	432.9100059	46.06208328	1.00600193
3.139330641e-007	1e-011	300	50203966.53	211487102.2	2581061.372	102278430	97618211.97	9253534.063	440.74185	47.54749801	1.048511471
3.239330641e-007	1e-011	300	48777811.27	219223351.8	2651477.851	102429263.4	101757966.3	17643139.45	448.3998023	49.01423983	1.093182433
3.339330641e-007	1e-011	300	47350618.16	226991648.8	2723070.977	102578935.8	105929983.5	26638300.73	455.8921356	50.46201782	1.14005786
3.439330641e-007	1e-011	300	45922448.79	234790311.8	2795820.097	102727466.5	110132669.1	36253162.84	463.2266109	51.89062821	1.189181267
3.538070649e-007	1e-011	300	44511371.68	242518978	2868767.865	102873023.4	114311041.1	46368750.38	470.3209032	53.28230611	1.23993433
3.548099784e-007	1e-011	300	44367998.73	243305502	2876242.381	102887743.3	114736988.8	47431262.07	471.0335004	53.42260179	1.245215902
3.558185088e-007	1e-011	300	44223814.08	244096707.1	2883770.017	102902534.5	115165602.6	48506310.65	471.748637	53.5634868	1.250550791
3.568326262e-007	1e-011	300	44078821.87	244892572.9	2891350.721	102917396.4	115596873.3	49593989.08	472.4662746	53.70495367	1.255939283
3.578523018e-007	1e-011	300	43933026.15	245693080.1	2898984.449	102932328.5	116030791.7	50694391.61	473.1863752	53.84699507	1.261381669
3.588775074e-007	1e-011	300	43786430.85	246498209.5	2906671.16	102947330	116467349.2	51807613.67	473.9089021	53.98960378	1.266878245
3.599082158e-007	1e-011	300	43639039.76	247307943	2914410.82	102962400.5	116906537.4	52933751.95	474.6338189	54.13277272	1.272429313
3.609444005e-007	1e-011	300	43490856.59	248122262.6	2922203.399	102977539.4	117348348.2	54072904.31	475.3610904	54.27649492	1.278035179
3.619860357e-007	1e-011	300	43341884.94	248941151.2	2930048.873	102992746.2	117792773.8	55225169.83	476.0906818	54.42076351	1.283696156
3.630330963e-007	1e-011	300	43192128.29	249764591.9	2937947.221	103008020.2	118239806.5	56390648.75	476.8225592	54.56557175	1.28941256
3.640855581e-007	1e-011	300	43041590.06	250592568.7	2945898.428	103023361.1	118689439.2	57569442.5	477.5566891	54.71091299	1.295184714
3.651433972e-007	1e-011	300	42890273.53	251425065.6	2953902.483	103038768.2	119141664.6	58761653.67	478.293039	54.85678068	1.301012946
3.662065907e-007	1e-011	300	42738181.93	252262067.5	2961959.379	103054241.2	119596476.1	59967386.01	479.0315769	55.00316837	1.306897586
3.672751161e-007	1e-011	300	42585318.38	253103559.6	2970069.114	103069779.4	120053866.9	61186744.39	479.7722713	55.15006973	1.312838972
3.683489516e-007	1e-011	300	42431685.91	253949527.4	2978231.689	103085382.4	120513830.7	62419834.87	480.5150916	55.29747847	1.318837446
3.694280759e-007	1e-011	300	42277287.49	254799956.9	2986447.109	103101049.7	120976361.5	63666764.61	481.2600074	55.44538844	1.324893355
3.705124685e-007	1e-011	300	42122125.99	255654834.7	2994715.383	103116781	121441453.1	64927641.9	482.0069892	55.59379356	1.331007048
3.716021091e-007	1e-011	300	41966204.21	256514147.6	3003036.524	103132575.6	121909099.8	66202576.17	482.7560079	55.74268781	1.337178883
3.726969782e-007	1e-011	300	41809524.88	257377882.8	3011410.547	103148433.1	122379296.2	67491677.96	483.507035	55.89206528	1.34340922
3.737970566e-007	1e-011	300	41652090.65	258246027.8	3019837.473	103164353.2	122852036.7	68795058.93	484.2600425	56.04192012	1.349698423
3.749023258e-007	1e-011	300	41493904.11	259118570.6	3028317.324	103180335.4	123327316.3	70112831.85	485.0150029	56.19224658	1.356046862
3.760127676e-007	1e-011	300	41334967.78	259995499.5	3036850.126	103196379.2	123805129.9	71445110.59	485.7718892	56.34303896	1.362454911
3.771283644e-007	1e-011	300	41175284.11	260876803.2	3045435.908	103212484.3	124285472.5	72792010.13	486.5306748	56.49429164	1.36892295
